Object URL,Social Tags,C,CS,CSH,GV,AR,BM,MCS
https://collectionapi.metmuseum.org/api/collection/v1/iiif/199737/1372219/main-image,N/A,"art, pottery, no person, design, round, ornate, round out, decoration, tableware, porcelain, illustration, handmade, pattern, shape, ceramic, dish, earthenware, plate, antique, artistic",round white and blue ceramic plate,round multicolored ceramic plate decor,"Dishware, Porcelain, Plate, Ceramic, Tableware, Platter, Circle, Serveware, earthenware, Emblem","Pottery, Art, Porcelain, Bowl, Rug, Saucer","majolica earthenware, earthenware, utensil, faience eartherware, ultramarine color, jade green color","a gold coin, utensil, colorful, decorated, white, black, large, red, gold, painted, blue, yellow"
https://collectionapi.metmuseum.org/api/collection/v1/iiif/282043/608594/main-image,N/A,"portrait, people, art, one, lid, adult, veil, wear, man, cap, woman, military, profile, facial hair, vintage, painting, sepia, retro, royalty, military uniform",man wearing black suit jacket photo,woman wearing headband,"Photograph, Art, Headgear, History, Vintage clothing, Photography","Person, Human, Face, Head, Photography, Portrait, Photo, Accessories, Accessory, Jewelry, Archaeology","passe-partout (frame), framework, supporting structure, frame, picture frame, book, book jacket, wrapping, maroon color","a black and white photo of a person, photo, black, white, monitor, sitting, woman, old, food, holding, man, standing, cat"
https://collectionapi.metmuseum.org/api/collection/v1/iiif/488030/1006992/restricted,N/A,"no person, landscape, nature, mountain, hill, tree, outdoors, valley, scenic, agriculture, dawn, travel, sky, grass, countryside, farm, rural, cropland, sunset, field",brown and green trees painting,green leaf tree,"Painting, Nature, Sky, Natural landscape, Hill, Watercolor paint, Rural area, Plain, Landscape, Acrylic paint","Painting, Art, Nature, Outdoors, Countryside, Building, Rural, Housing, Landscape, Scenery, Field, Farm, House, Grassland, Hut","oil paint, paint, hay, fodder, feed, food, slope, natural elevation, olive green color, ultramarine color","a waterfall with a mountain in the background, grass, mountain, nature, outdoor, sheep, field, water, rock, large, grazing, view, waterfall, old, green, standing, rocky, horse, many, hill, covered, herd, grassy, man, flock, river"
https://collectionapi.metmuseum.org/api/collection/v1/iiif/444897/898260/main-image,N/A,"no person, illustration, art, desktop, design, paper, vintage, decoration, abstract, retro, symbol, card, pattern, color, one, flower, texture, still life, container, cutout","white, blue, and green floral textile","white, orange and blue floral board","Blue, Pattern, Design, Textile, Visual arts","Porcelain, Art, Pottery, Pattern, Rug, Embroidery, Graphics, Floral Design","clutch bag, handbag, purse, bag, etui (ladies bag), pencil box, box, cardcase, utensil, food, fabric, ultramarine color","thing, decorated, sitting, table, colorful, blue, white, side, large, yellow, board, red, vase"
https://collectionapi.metmuseum.org/api/collection/v1/iiif/470599/1563186/main-image,N/A,"sculpture, statue, art, museum, monument, old, travel, architecture, marble, stone, ancient, building, grave, religion, urban, city, church, cemetery, lion, god",offensive,knight statue,"Sculpture, Statue, Classical sculpture, Art, Stone carving, Carving, Relief, Museum, Visual arts, Marble","Soil, Archaeology, Flagstone","sarcophagus  coffin, box, memorial, stele (stone slab with markings), gargoyle (water spout), alabaster color","building, stuffed, sitting, teddy, sidewalk, bear, laying, food, table, floor, lying, feet, dog, holding, large, board, baby, man, cutting, standing, kitchen, street, white, stone"
https://collectionapi.metmuseum.org/api/collection/v1/iiif/337496/739534/main-image,N/A,"portrait, face, old, art, people, woman, man, one, eye, girl, texture, hair, vintage, paper, fashion, sepia, antique, desktop, adult, person",black and white abstract painting,womans face,"Face, Hair, Head, Forehead, Facial hair, Portrait, Eyebrow, Nose, Chin, Self-portrait","Art, Head, Painting, Human, Person, Face, Drawing, Photo, Photography, Portrait, Sketch","person, silverpoint, gray color, ash grey color","a person looking at the camera, text, book, photo, looking, man, old, sitting, young, white, cat, standing"
https://collectionapi.metmuseum.org/api/collection/v1/iiif/591854/1229683/restricted,N/A,"art, illustration, house, painting, print, people, no person, bird, lamp, architecture, building, family, room, vintage, furniture, wood, window, old, lithograph, woman",brown wooden framed wall decor,brown bird house illustration,"Illustration, Painting, Art, Visual arts","Art, Painting, Tower, Building, Clock Tower, Architecture, Human, Person, Drawing","cuckoo clock, clock, timepiece, measuring instrument, Kachina dolls, shadow box, box, light brown color, dark red color","a bedroom with a bed and a mirror, indoor, photo, sitting, small, items, mirror, table, room, various, old, brown, cat, black, bed, man, living, hanging, laying, clock, sink, bedroom, kitchen, white, holding, stove, display, sleeping"
https://collectionapi.metmuseum.org/api/collection/v1/iiif/553045/1212488/main-image,N/A,"no person, sculpture, carpentry, art, metalwork, one, ancient, figurine, wood, antique, retro, figure, old, people, steel, woman, statue, arts and crafts, traditional, man",brass-colored metal frame,gray and brown figurine,"Sculpture, Statue, Bronze sculpture, Figurine, Art, Bronze, Metal, Monument, Antique, Nonbuilding structure","Toy, Architecture, Building, Bronze, Symbol, Emblem, Column, Pillar, Figurine, Person, Human, Totem, Tiki","reliquary container, oil lamp, lamp, safety lamp, mouthpiece, acoustic device, controller, game equipment, alabaster color, ultramarine color","thing, indoor, sitting, table, clock, wooden, brown, tall, orange, large, display, standing, cat, vase, holding"
https://collectionapi.metmuseum.org/api/collection/v1/iiif/107375/272802/main-image,N/A,"fashion, winter, portrait, woman, wear, leather, studio, man, model, art, adult, dress, traditional, jacket, retro, costume, girl, one, elegant, Christmas",womens red and brown long sleeve dress,red and gold traditional dress on white background,"Clothing, Outerwear, Red, Sleeve, Maroon, Robe, Fur, Coat, Velvet, Jacket","Clothing, Apparel, Costume, Overcoat, Coat, Person, Human, Sleeve, Long Sleeve, Toy, Fashion, Doll","fur, garment, overgarment, jabot (ruffle of dress), dolman jacket, coat, coating, clothing, fabric, dark red color, Indian red color","a woman wearing a red dress standing in front of a coat, red, person, coat, clothing, wearing, woman, dressed, phone, cellphone, dress, looking, jacket, lady, hat, standing, outfit, walking, snow, holding, talking, suit, field, covered, large, white, head, shirt, street, skiing, umbrella, man"
https://collectionapi.metmuseum.org/api/collection/v1/iiif/544692/1212612/main-image,N/A,"sculpture, art, statue, ancient, Buddha, religion, no person, temple, veil, travel, old, god, figurine, culture, museum, archaeology, grave, antique, spirituality, stone",gray and black ceramic figurine,concrete statue,"Sculpture, Statue, Stone carving, Classical sculpture, Art, Forehead, Monument, Artifact, Stock photography, Temple","Person, Human, Sculpture, Art, Statue, Archaeology, Figurine, Kneeling","socle, support, supporting structure, stele (stone slab with markings), ancient person, person, sculpture, alabaster color","a statue of a person, old, sitting, standing, man, suit, wearing, green, brown, gray, clock, tower, statue, large, tall, stone, hat, luggage, brick, white, stacked"
