Object URL,Social Tags,C,CS,CSH,GV,AR,BM,MCS
https://philamuseum.org/images/cad/zoomers/2004-132-30-rec.jpg,floral; flowers; menswear; purple; stars; ,"fashion, wear, garment, shirt, sleeve, jacket, apparel, cotton, dress, elegant, wardrobe, style, shopping, casual, blouse, design, color, boutique, isoluted, modern",women blue purple and brown floral button-up jacket,gray and pink floral button up jacket,"Clothing, Outerwear, Sleeve, Jacket, Pattern, Visual arts, Design, Pattern, Textile, Top","Clothing, Apparel, Jacket, Coat, Pattern, Human, Person, Blazer, Paisley, Long Sleeve, Sleeve","shirtwaist, shirt button, fastener, restraint (chains), bush jacket, coat, overgarment, garment, shirttail, fabric, camise (shirt), shirt, blouse, work-shirt, dress, clothing, sage green color, gray color","a man wearing a costume, clothing, person, indoor, man, standing, holding, wearing, yellow, looking, shirt, boy, old, hat, young, table, colorful, phone, woman, white, room, umbrella, bed, cat"
https://philamuseum.org/images/cad/zoomers/1929-150-13-imls2012.jpg,bugs; butterfly; flowers; insects; leaves; nature; ,"flora, leaf, nature, no person, flower, summer, illustration, color, husk, desktop, tropical, biology, isoluted, decoration, print, garden, bright",flower with red longhorn beetle and butterfly painting,green and white leaf plant,"Flowering plant, Flower, Plant, Botany, Plant stem, Ginger family, Canna family, Insect","Leaf, Plant, Animal, Insect, Invertebrate, Text, Bird, Honey Bee, Bee, Blossom, Flower, Art, Butterfly","welwitschia (strap like leaves), plant, petiole, spadix, leaf shape, luna moth, moth, insect, invertebrate, animal, stanhopea, orchid, flower, flowering plant, sage green color, pale yellow color","a vase of flowers on a table, table, flower, sitting, small, vase, holding, filled, bird, different, white, glass, group"
https://philamuseum.org/images/cad/zoomers/2004-149-65-pma.jpg,elephant; gold; india; paper; prince; silver; watercolor,"illustration, art, people, painting, man, adult, wear, competition",man riding an elephant beside person riding a horse painting,brown and black wooden wall decor,"Painting, Art, Bullfighting, Performance, Picture frame, Illustration","Human, Person, Animal, Art, Leisure Activities, Mammal, Painting","tapestry, fabric, book jacket, wrapping, paper based (stamps/currency), written document, passe-partout (frame), framework, supporting structure, picture frame, Indian red color, olive green color","a close up of a book, text, book, photo, table, sitting, old, lying, holding, laying, man, white, stuffed"
https://philamuseum.org/images/cad/zoomers/1955-94-54.jpg,american textiles; bird; eagle; flowers; ,"decoration, pattern, vector, ornate, illustration, retro, design, floral, art, picture frame, vintage, flower, antique, margin, texture, element, graphic, style",white-red-and-green eagle and floral print textile,"white, red, and green floral print board","Textile, Pattern, Embroidery, Rectangle, Pattern, Visual arts, Plant, Art, Rug, Needlework","Pattern, Embroidery, Rug, Art, Floral Design, Graphics, Stitch, Quilt, Home Decor","screen, indoors, arabesque (ornament), rug, floor cover, tapestry, fabric, protective covering, maroon color, olive green color","a close up of furniture, furniture, sitting, large, white"
https://philamuseum.org/images/cad/zoomers/1929-184-16after-CX.jpg,balance; banners; boxer; broad and cherry streets; fighter; nhd 1877 to 1900 urban; painting; peanut gallery; philadelphia; philadelphia arena; repetition; sports; us-born artist; ,"people, group, adult, many, man, child, woman, painting, container, recration, music, room, home, education, art, waear, mammal, two, group, indoors",painting of timeout boxing event,black wooden framed wall decor,"Visual arts, Art, Painting","Human, Person, Chair, Furniture, Leisure Activities, Dance Pose, Art, Painting, Piano, Musical Instrument, Stage, Bar Counter, Pub, Musician, Pianist, Performer","carthorse, odd-toed ungulate (hoofed mammal), mammal, animal, torture chamber, indoors, palanquin (closed litter), electric chair, coal miner, laborer, workman, person, Barber Shop, musical instrument, black color","a group of people in a room, indoor, chair, table, building, sitting, giraffe, room, front, living, group, standing, woman, man, display, people"
https://philamuseum.org/images/cad/zoomers/E1924-4-21-pma.jpg,dutch; flock; hague school; landscape; pastoral; peace; realism; sheep,"sheep, no person, mammal, agriculture, outdoors, livestock, landscape, wildlife, desert, farm, grassland, herd, travel, cattle, hill, lamb, nature",sheep lot,brown and white animal painting,"Herd, Sheep, Sheep, Grazing, Herding, Grassland, Pasture, Shepherd, Livestock, Landscape","Animal, Mammal, Sheep, Flock, Herd, Human, Person, Art, Painting","sheep, ruminant, mammal, animal, domestic sheep, wild sheep, black color, gray color","a herd of sheep standing on top of a grass covered field, grass, outdoor, sheep, field, grazing, herd, hay, standing, grassy, pasture, large, brown, open, background, group, flock, hill, white, cloudy, green, man"
https://philamuseum.org/images/cad/zoomers/BST-3-pma.jpg,N/A,"decoration, pattern, art, ornate, antique, retro, design, style, vintage, desktop, texture, floral, illustration",white and brown framed picture of birds,white and gray floral print textile,"Art, Illustration, Visual arts, Drawing, Carving, Printmaking, Black-and-white, Pattern, Artwork, Fictional character","Rug, Pattern, Graphics, Art, Floral Design, Doodle, Drawing","pargeting (ornamental plasterwork), fabric, alabaster color","graffiti on a wall, graffiti, stone"
https://philamuseum.org/images/cad/zoomers/x-11914-pma.jpg,NA,"no person, abandoned, dirty, old, retro, rusty, food, broken, empty, antique, decay",white soap,white bar soap,"Yellow, Wall, Architecture, Room, Plumbing fixture, Toilet, Floor, Mold, House, Ceiling","Staircase, Mat","doorsill, support, dry rot, fungus, dustpan, receptacle, soil pipe, indoors, beige color","indoor, dirty, building, sitting, old, empty, tiled, hole, stove, man, white, yellow, oven, pizza"
https://philamuseum.org/images/cad/zoomers/2016-174-1-pma2016.jpg,NA,"desktop, art, abstract, monochrome, design, graphic, vintage, texture, tree, black and white",leafless tree,close,"White, Leaf, Branch, Line art, Black-and-white, Tree, Botany, Drawing, Visual arts, Plant","Drawing, Art, Sketch, Doodle, Paper","tangle, wiring, electrical device, study, transmission line, wire, conductor, light brown color, gray color","a bird sitting on a branch, sitting, bird, water, branch, hanging, white, yellow, perched, sign"
https://philamuseum.org/images/cad/zoomers/1924-36-9-pma.jpg,NA,"no person, handprint, paper, art, painting, pattern, texture, dirty, desktop, artistic, wear, messy",kanji text,white and red printed textile,"Art, Beige, Illustration","Text, Rug, Art, Paper, Alphabet","rug, floor cover, graffiti, cookie cutter, utensil, tapestry, fabric, packet, brick red color","a graffiti covered wall, photo, paper, painted, elephant, stop, covered, sitting, fabric, drawn, holding, sign, old, red, graffiti, table, white, man, food"
https://philamuseum.org/images/cad/zoomers/1928-42-1173-pma.jpg,N/A,"illustration, print, art, engraving, vintage, old, retro, paper, antiquez",black and white tree painting,gray and black abstract painting,"Drawing, Tree, Artwork, Sketch, Grass, Art, Modern art, Plant, Illustration, Printmaking","Art, Drawing, Painting","silverpoint, half binding book, protective covering, gray color","a tree in a field, outdoor, grass, field, photo, white, standing, man, black, large, horse, old, flying, covered, young, riding, walking, tall, woman, tree, sheep, snow, water, rug, people"
https://philamuseum.org/images/cad/aamd/2016-41-1(54)-pma2016.jpg,N/A,"people, many, group, crowd, adult, group together, war, military",gray scale photo of vendors and people,grayscale photo of people,"People, History, Crowd, Team","Building, Person, Human, Urban, Factory, Slum, Crowd, People, Bike, Bicycle, Transportation, Vehicle, Painting, Art, Manufacturing","person, crowd, people, sweatshop, factory, death camp, institution, building, black color, gray color","a vintage photo of a large crowd of people, photo, outdoor, old, white, group, people, crowd, many, player, black, vintage, large, filled, lot, crowded, full, holding, standing, bunch, field, table, restaurant, man, umbrella, river, street"
https://philamuseum.org/images/cad/zoomers/1933-72-1499-pdp.jpg,N/A,"people, print, adult, art, wear, man, illustration, group, engraving",N/A,black wooden framed painting of man,"Art, Painting, Printmaking, Illustration, Stock photography, Visual arts, Modern art, Artwork","Painting, Art, Person, Human, Drawing","person, sonogram, arthrogram (x-ray), radiogram, passe-partout (frame), framework, supporting structure, autoradiograph, intravenous pyelogram, black color","a black and white photo of a person, text, building, photo, black, old, white, standing, woman, young"
https://philamuseum.org/images/cad/aamd/1941-53-14-luce.jpg,N/A,"no person, architecture, empty, step, modern, business, perspective, sky, expression, contempory, window, glass items, building, handrail, outdoors",gray metal bridge photo,white and black area rug,"Blue, Wall, Line, Painting, Architecture, Modern art, Stairs, Room, Illustration, Rectangle","Building, Road, Bridge, Path, Freeway, Pedestrian, Waterfront, Water, Architecture, Pier, Port, Dock, Overpass, Staircase, Walkway, City, Street, Urban, Town","stringer (wooden), timber, support, railing, barrier, parapet (low wall), wall, steel blue color","a close up of a bridge, building, indoor, bridge, man, white, black, sitting, rail, young, railing, board, riding, jumping, wooden, boy, large, trick, doing, track, kitchen, air, train, platform, bench, standing"
https://philamuseum.org/images/cad/aamd/1952-61-82-pma-CX.jpg,miro,"people, no person, competition, adult, wear, man, action, school, one, sports equipment",white blue and brown two legged animated animal near ladder illustration,animal under moon illustration,"Floor, Performance","Human, Person, Super Mario","person, flagpole, racquetball, court game, athletic game, sport, Sports Track, table-tennis table, table, furniture, drogue parachute, parachute, rescue equipment, catheter tube, javelin, sports equipment, coal black color","a person in a dark room, black, laptop, sitting, computer, man, dark, holding, standing, playing, young, red, room, suit, woman, table, cat, white, kite, court, player"
https://philamuseum.org/images/cad/aamd/2012-25-38-pma.jpg,N/A,"pattern, illustration, wallpaper, abstract, decoration, seamless, texture, design, art",brown black and red artwork,white and black polka dot textile,"Pattern, Design, Textile, Visual arts, Art, Modern art, Non-Sporting Group, Painting, Illustration","Rug, Art","arabesque (ornament), rug, floor cover, damask fabric, fabric, print, shower curtain, curtain, screen, protective covering, cotton","a close up of a sign, indoor, decorated, sitting, table, large, baby, holding, bowl, white, elephant, young, old, woman, computer, sign, cat, group"
https://philamuseum.org/images/cad/zoomers/1983-169-37v1-neh.jpg,N/A,"desktop, design, illustration, blank, wall, texture, empty, abstract, pattern, image, paper, nature",clear glass trees leaser etch figurine,white and gray abstract painting,"Glass, Transparent material, Rectangle, Architecture, Art","Nature, Outdoors, Ice, Snow, Home Decor, Rug, Scenery, Winter, Frost, Landscape, Art","sconce (lighting), light source, block, lamp, figure, tableware, fabric, ash grey color, gray color","table, sitting, white, man, board, water, room, vase, riding, standing, tall"
https://philamuseum.org/images/cad/zoomers/1999-99-1postcons-pma.jpg,N/A,"decoration, pottery, art, cernamic, gold, round, round out, symbol, porcelain, ancient",white and brown decorative round plate,round brown and green floral plate,"Dishware, Plate, Ceramic, Porcelain, Tableware, Circle, Platter, earthenware, Fictional character, Metal","Art, Porcelain, Pottery, Food, Dish, Meal, Rug, Platter","majolica earthenware, earthenware, utensil, tableware, pale yellow color","a round white plate, thing, sitting, large, white, round, yellow, black, table, sign, gold, plate, blue"
